id,name,category,chapter,description,detail,image
bookshelf,书柜,trace,prologue,里面摆满了侦探小说，大多都是一名叫'秋白'的作者写的。,书架几乎被一位名叫'秋白'的作者填满。,
wardrobe,衣柜,trace,prologue,里面堆满了深色的衣服，衣服堆下面似乎埋着李志的袜子。,衣柜深处堆满了深色衣服，在衣服堆的最下面，露出一只皱巴巴的袜子。,
bed,床铺,trace,prologue,这段时间都由陈雯音睡在这张床上。,这张床收拾得整整齐齐，被褥叠得方方正正。这段时间都由陈雯音睡在这里。,
desk,办公桌,trace,prologue,桌上堆着侦探档案和泡面杯，是李志平时工作的地方。,办公桌上的档案、电话和台灯都被使用得很频繁，桌角还放着没收拾的泡面杯。,
lobby_fountain,室内流水假山,trace,chapter1,大堂正中一座由整块太湖石与循环水景雕琢的华丽假山，流水潺潺。,假山的水流声很大，足以掩盖近距离的低声交谈。有人在假山后低声说着什么，听得并不真切。,
lobby_stand,峰会展架,trace,chapter1,'2036亚太前沿人工智能与智能安全闭门研讨会'特制展架，主赞助商为磐安智能。,展架上有磐安智能的Logo和严成峰的商务肖像。这位执行总裁在照片里笑得和蔼可亲，与传闻判若两人。,
lobby_delivery,外卖暂存柜,trace,chapter1,前台左侧的蜂巢式恒温配送柜，配有无人机接驳口与液晶扫码屏。,扫码屏上残留着几条取件记录，其中一条的柜号被擦得有些模糊。,
lobby_signbook,VIP签到簿,evidence,chapter1,VIP贵宾签到簿与房卡盒。前台表示非授权人员无法查看。,签到簿上密密麻麻记录着参会高管的入住信息，前台礼貌地拒绝了查看请求。,assets/image/clue_signbook.png
court_plant,罗马柱与盆栽,trace,chapter1,连廊两侧的罗马柱与茂密盆栽，形成了视线死角。,盆栽后是一处视线死角。之前似乎有人在这里压低声音打电话。,
court_table,茶歇长桌,trace,chapter1,摆满法式甜点、水果塔和黑咖啡壶的茶歇长桌。,甜点几乎没有被动过，倒是黑咖啡壶已经空了一半。,
court_power,公共电源桩,trace,chapter1,木质长椅旁的金属防雨电源插座桩。,电源桩的插座处有轻微的焦痕，像是被什么东西长时间占用过。,
court_fountain,音乐喷泉中控箱,trace,chapter1,带电子时钟的音乐喷泉中控柱，整点会准时报时。,中控柱上的电子时钟走得很准，整点准时响起音乐报时——这是可靠的时间标尺。,assets/image/clue_fountain.png
court_wifi,Wi-Fi 8 路由,trace,chapter1,记录设备内网连接日志的Wi-Fi 8路由。,路由器指示灯规律闪烁，后台记录着每一台设备的接入与断开时间。,
room_2501,2501房,trace,chapter1,严成峰的套房，门缝里飘出一股淡淡的药水味。,2501房是严成峰的套房，门缝下透出一丝若有若无的药水味。,
room_2502,2502房,trace,chapter1,赵恒的房间。,2502房房门紧闭，门牌显示这是赵恒的房间。,
room_2504,2504房,trace,chapter1,李志和陈雯音的房间。,2504房是李志和陈雯音的房间。,
room_2505,2505房,trace,chapter1,许晴岚的房间，就在李志隔壁。,2505房是许晴岚的房间，就在李志房间的隔壁。,
